,date,total,price,condition,movement,case material,band material,model,listingType,start,url
201,2019-04-19,5900.0,5900.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,2019-04-19,http://www.ebay.com/itm/authentic-stainless-steel-rolex-explorer-ii-/223488501818
202,2019-04-19,6200.0,6200.0,pre-owned,Mechanical (Automatic),Solid Gold,Yellow Gold,Rolex President,StoreInventory,2018-12-20,http://www.ebay.com/itm/rolex-datejust-26mm-president-18k-yellow-gold-diamond-bezel-band-tiger-eye-dia-/273618770599
203,2019-04-19,3101.0,3101.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,2019-04-12,http://www.ebay.com/itm/rolex-gents-stainless-steel-datejust-watch-36mm-ref-16030-blue-dial-/113716719864
204,2019-04-19,3350.0,3350.0,pre-owned,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,StoreInventory,2019-04-11,http://www.ebay.com/itm/rolex-datejust-steel-white-gold-silver-dial-vintage-mens-watch-1601-/333153288763
205,2019-04-19,5550.0,5500.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-12,http://www.ebay.com/itm/rolex-president-day-date-19018-18k-yellow-gold-white-roman-dial-oyster-quartz-/143212800908
206,2019-04-19,5250.0,5200.0,pre-owned,Mechanical (Automatic),Stainless Steel,Oyster Steel,Rolex Oyster Perpetual 39,FixedPrice,2019-04-18,http://www.ebay.com/itm/rolex-oyster-perpetual-114300-39mm-rare-and-newly-released-white-dial-mint-/303130056157
207,2019-04-19,3500.0,3500.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-12,http://www.ebay.com/itm/rolex-president-ladies-size-18k-yellow-gold-vintage-oyster-perpetual-datejust-/173871466950
208,2019-04-19,3500.0,3500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 14k Yellow Gold,Rolex Datejust,StoreInventory,2019-04-19,http://www.ebay.com/itm/ladies-rolex-datejust-2-tone-14k-yellow-gold-stainless-steel-watch-white-mop-/163657185980
209,2019-04-19,7600.0,7600.0,pre-owned,Mechanical (Automatic),"Stainless Steel, Platinum",Stainless Steel,Rolex Yacht-Master,StoreInventory,2018-10-11,http://www.ebay.com/itm/mint-rolex-yacht-master-16622-steel-platinum-rolesium-date-watch-box-papers-/273504270008
210,2019-04-19,3350.0,3350.0,pre-owned,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 14k Yellow Gold,Rolex Datejust,StoreInventory,2019-04-19,http://www.ebay.com/itm/rolex-datejust-lady-31mm-gold-steel-champagne-dial-78273-jubilee-/382910272959
211,2019-04-19,3400.0,3400.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,StoreInventory,2019-01-04,http://www.ebay.com/itm/rolex-air-king-precision-stainless-steel-blue-dial-14010m-/273638772517
212,2019-04-19,4000.0,4000.0,pre-owned,Mechanical (Automatic),Stainless Steel,Genuine Leather,NULL,FixedPrice,2019-04-13,http://www.ebay.com/itm/rolex-datejust-auto-36mm-steel-mens-oyster-bracelet-watch-116200-/293047572723
213,2019-04-19,3114.0,3095.0,pre-owned,Mechanical (Automatic),"Solid Gold, Stainless Steel",Stainless Steel,Rolex Datejust,FixedPrice,2019-02-12,http://www.ebay.com/itm/vintage-gold-rolex-oyster-perpetual-datejust-chronometer-watch-36mm-/192823072710
214,2019-04-19,5700.0,5700.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice,2019-04-16,http://www.ebay.com/itm/rolex-explorer-214270-black-index-3-6-9-dial-2018-model-blue-lume-full-set-/133024675316
215,2019-04-19,3500.0,3500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,2019-01-31,http://www.ebay.com/itm/rolex-datejust-36mm-16014-white-roman-silver-stainless-steel-jubilee-watch-/292941928880
216,2019-04-19,3605.0,3600.0,new with tags,NULL,NULL,NULL,NULL,StoreInventory,2019-03-19,http://www.ebay.com/itm/rolex-oyster-perpetual-mens-watch-never-worn-pre-owned-box-w-coa-/254170165223
