total,price,condition,MPN,movement,case_material,band_material,model,listing_type,deal_type
11650,11650,new with tags,126333,Automatic,Stainless Steel,18k Gold,Datejust,StoreInventory,Bad deal
7400,7400,pre-owned,16013,Automatic,18k Gold,Two Tone 18k Gold,Datejust,FixedPrice,Bad deal
6845,6800,pre-owned,16660,Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,StoreInventory,Good deal
9545,9500,pre-owned,16660,Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,StoreInventory,Bad deal
9100,9100,pre-owned,116660,Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,Auction,Bad deal
6945,6895,pre-owned,216570,Automatic,Stainless Steel,Stainless Steel,Explorer 2,Auction,Good deal
3000,3000,pre-owned,16014,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Good deal
6600,6600,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Good deal
9545,9500,pre-owned,16660,Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,StoreInventory,Bad deal
4750,4750,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
4199,4199,pre-owned,16014,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Bad deal
4250,4250,pre-owned,16233,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Good deal
8493,8493,pre-owned,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Good deal
9150,9150,pre-owned,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
7595,7595,pre-owned,18239,Automatic,18k Gold,18k Gold,President,StoreInventory,Good deal
12000,12000,pre-owned,116523,Automatic,Stainless Steel,18k Gold,Daytona,FixedPrice,Bad deal
5565,5500,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,Auction,Bad deal
5629,5599,new with tags,116900,Automatic,Stainless Steel,Stainless Steel,Air-King,FixedPrice,Good deal
4890,4860,pre-owned,114300,Automatic,Stainless Steel,Stainless Steel,Oysterdate,FixedPrice,Good deal
4349,4300,pre-owned,1803,Automatic,18k Gold,18k Gold,President,FixedPrice,Good deal
4500,4500,pre-owned,16014,Automatic,Stainless Steel,Rubber,Datejust,StoreInventory,Bad deal
11050,11000,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
11119,11119,new with tags,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Bad deal
3150,3150,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
6200,6200,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Good deal
10995,10995,new with tags,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
9050,9050,pre-owned,126334,Automatic,18k Gold,Stainless Steel,Datejust,StoreInventory,Bad deal
3299,3299,pre-owned,16030,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Good deal
11600,11600,new with tags,126334,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
7600,7500,pre-owned,16628,Automatic,18k Gold,18k Gold,Yachmaster,FixedPrice,Good deal
3887,3887,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
8400,8400,pre-owned,16623,Automatic,18k Gold,18k Gold,Yachmaster,StoreInventory,Bad deal
3200,3200,pre-owned,69173,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
3000,3000,pre-owned,69173,Automatic,Stainless Steel,Two Tone 18k Gold,Datejust,FixedPrice,Bad deal
3038,3038,pre-owned,1601,Automatic,18k Gold,18k Gold,Datejust,Auction,Good deal
4688,4600,pre-owned,69178,Automatic,18k Gold,18k Gold,President,StoreInventory,Good deal
3600,3600,pre-owned,69174,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
