total,price,condition,MPN,movement,case material,band material,model,listingType,url
5685,5650,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex DateJust,StoreInventory,http://www.ebay.com/itm/rolex-president-datejust-26mm-18k-yellow-gold-ladies-watch-79178-/113675012024
10000,10000,pre-owned,116334,Mechanical (Automatic),Stainless Steel with 18k White Gold Bezel,Stainless Steel,Datejust II,StoreInventory,http://www.ebay.com/itm/a8-rolex-mens-41mm-chocolate-face-datejust-18k-everose-gold-stainless-steel-box-/312288651301
8400,8400,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,StoreInventory,http://www.ebay.com/itm/rolex-sea-dweller-deepsea-116660-stainless-steel-black-ceramic-watch-44mm-/401744635103
5750,5750,pre-owned,Rolex Submariner,Mechanical (Automatic),Stainless Steel,"Rolex Stainless Steel Oyster, Stainless Steel",Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-14060-stainless-steel-black-dial-automatic-watch-40mm-/392207705231
5250,5200,pre-owned,114300,Mechanical (Automatic),Stainless Steel,Oyster Steel,Rolex Oyster Perpetual 39,FixedPrice,http://www.ebay.com/itm/rolex-oyster-perpetual-114300-39mm-rare-and-newly-released-white-dial-mint-/392280489513
5250,5200,new with tags,116900,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,FixedPrice,http://www.ebay.com/itm/rolex-watch-mens-air-king-116900-stainless-steel-black-dial-40mm-oyster-band-/143221965589
6000,6000,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 10k Yellow Gold,Rolex Datejust,Auction,http://www.ebay.com/itm/men-s-14k-yellow-gold-rolex-date-ref-15037-1986-minty-/293045960397
3265,3265,pre-owned,6517,Mechanical (Automatic),"Solid Gold, Gold, Stainless Steel","Solid Gold, Stainless Steel",Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-16233-oyster-perpetual-datejust-jubilee-band-18k-gold-ss-diamond-bezel-/223488635500
4992,4992,pre-owned,1601,Swiss Automatic,Stainless Steel,Stainless Steel,Date Just 1601,FixedPrice,http://www.ebay.com/itm/mint-rolex-datejust-36mm-16200-diamond-bezel-mop-dial-oyster-watch-16220-/303125573556
9675,9675,pre-owned,116710,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master II,StoreInventory,http://www.ebay.com/itm/rolex-gmt-master-ii-stainless-steel-black-dial-116710ln-/273780791329
3725,3695,pre-owned,14000,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,FixedPrice,http://www.ebay.com/itm/rolex-oyster-perpetual-air-king-precision-blue-arabic-dial-ss-watch-w-papers-/264160252742
3510,3500,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/men-s-rolex-datejust-1601-/133027762750
6200,6200,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-datejust-26mm-president-18k-yellow-gold-diamond-bezel-band-tiger-eye-dia-/273618770599
3101,3101,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,http://www.ebay.com/itm/rolex-gents-stainless-steel-datejust-watch-36mm-ref-16030-blue-dial-/113716719864
3350,3350,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-datejust-steel-white-gold-silver-dial-vintage-mens-watch-1601-/333153288763
5250,5200,pre-owned,114300,Mechanical (Automatic),Stainless Steel,Oyster Steel,Rolex Oyster Perpetual 39,FixedPrice,http://www.ebay.com/itm/rolex-oyster-perpetual-114300-39mm-rare-and-newly-released-white-dial-mint-/303130056157
3500,3500,pre-owned,6917,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 14k Yellow Gold,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/ladies-rolex-datejust-2-tone-14k-yellow-gold-stainless-steel-watch-white-mop-/163657185980
7600,7600,pre-owned,16622,Mechanical (Automatic),"Stainless Steel, Platinum",Stainless Steel,Rolex Yacht-Master,StoreInventory,http://www.ebay.com/itm/mint-rolex-yacht-master-16622-steel-platinum-rolesium-date-watch-box-papers-/273504270008
3350,3350,pre-owned,6917,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 14k Yellow Gold,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-datejust-lady-31mm-gold-steel-champagne-dial-78273-jubilee-/382910272959
3400,3400,pre-owned,14000,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,StoreInventory,http://www.ebay.com/itm/rolex-air-king-precision-stainless-steel-blue-dial-14010m-/273638772517
3114,3095,pre-owned,1601,Mechanical (Automatic),Gold,"Genuine Leather, Leather",Rolex Datejust,FixedPrice,http://www.ebay.com/itm/vintage-gold-rolex-oyster-perpetual-datejust-chronometer-watch-36mm-/192823072710
5700,5700,pre-owned,214270,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice,http://www.ebay.com/itm/rolex-explorer-214270-black-index-3-6-9-dial-2018-model-blue-lume-full-set-/133024675316
3500,3500,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-36mm-16014-white-roman-silver-stainless-steel-jubilee-watch-/292941928880
3548,3548,pre-owned,69173,Mechanical (Automatic),"18K Yellow Gold, 18K Gold, Yellow Gold, Gold, Stainless Steel","Stainless Steel, Yellow Gold",Rolex Datejust,StoreInventory,http://www.ebay.com/itm/womens-rolex-datejust-26mm-mother-pearl-diamond-numerals-18k-ss-/112840524552
3200,3200,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-datejust-stainless-steel-men-watch-w-silver-dial-/323489768081
7943,7943,pre-owned,116610LN,Mechanical (Automatic),Stainless Steel,Stainless Steel,Submariner,FixedPrice,http://www.ebay.com/itm/rolex-submariner-auto-40mm-steel-mens-oyster-bracelet-watch-date-116610ln-/293050365283
3093,3093,pre-owned,67194,Mechanical (Automatic),Stainless Steel,Stainless Steel,OYSTER PERPETUAL,FixedPrice,http://www.ebay.com/itm/2008-ladies-rolex-oyster-perpetual-pink-salmon-index-31mm-oyster-177200-watch-/273552425492
9800,9800,pre-owned,126300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-41-auto-steel-yellow-gold-mens-jubilee-bracelet-watch-126333-/283442313577
4925,4900,new with tags,BM847526E,Quartz (Solar Powered),"Stainless Steel, PVD Coated","Genuine Leather, Faux Leather, Fabric/Canvas",Citizen Eco-Drive,FixedPrice,http://www.ebay.com/itm/rolex-datejust-116200-stainless-mens-blue-roman-dial-2019-nwt-and-box-/133014287987
4100,4000,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice,http://www.ebay.com/itm/rolex-ladies-oyster-perpetual-datejust-18k-gold-watch-box-69178-/202650297425
7216,7188,pre-owned,6305,Mechanical (Automatic),Gold,Leather,Rolex Oyster Perpetual,Auction,http://www.ebay.com/itm/rolex-19018n-18k-oysterquartz-day-date-mens-watch-w-box-recently-overhauled-/392275025606
7101,7101,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,http://www.ebay.com/itm/rolex-submariner-date-16610-2005-boxes-and-papers-no-reserve-/202649240186
10415,10400,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,http://www.ebay.com/itm/rolex-submariner-5513-meters-first-stunning-original-dial-must-see-1967-beauty-/254197099241
7090,7090,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,Auction,http://www.ebay.com/itm/rolex-submariner-date-blue-stainless-and-18k-yellow-gold-model-16613-/153452936036
6500,6500,pre-owned,1675,Mechanical (Automatic),Stainless Steel,Steel,GMT Master,Auction,http://www.ebay.com/itm/rolex-5513-meters-first-all-original-runs-and-keeps-time-/173877105190
