,date,total,price,condition,MPN,movement,case material,band material,model,listingType,start,url
154,4/21/2019,5523,5500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2/26/2019,http://www.ebay.com/itm/rolex-submariner-mens-14060-stainless-steel-black-dial-automatic-watch-/312504830474
159,4/21/2019,7325,7250,new with tags,"$7,850 ",Automatic,Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,1/26/2019,http://www.ebay.com/itm/rolex-datejust-116234g-wrist-watch-2019-/123613167310
160,4/21/2019,3595,3595,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,2/20/2019,http://www.ebay.com/itm/rolex-mens-18k-gold-ss-datejust-1625-turn-o-graph-automatic-c-1968-lv369-/264206466324
162,4/21/2019,3800,3800,new with tags,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,4/14/2019,http://www.ebay.com/itm/mens-new-dominos-2018-rolex-md-116000-stainless-box-w-tags-collectable-item-/143215256240
163,4/21/2019,6528,6478,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,4/12/2019,http://www.ebay.com/itm/rolex-submariner-date-16610-u-series-1997-tight-band-very-nice-sub-/163646696829
164,4/21/2019,10570,10500,pre-owned,116710,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master II,StoreInventory,4/21/2019,http://www.ebay.com/itm/unpolished-2016-rolex-116710ln-gmt-master-ii-ceramic-bezel-watch-full-set-/183782926220
165,4/21/2019,6800,6800,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,4/18/2019,http://www.ebay.com/itm/rolex-mens-steel-submariner-black-dial-bezel-16610-box-books-/183779704505
166,4/21/2019,10995,10995,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,4/16/2019,http://www.ebay.com/itm/rolex-submariner-116613-blue-ceramic-18k-yellow-gold-stainless-steel-/273809199569
167,4/21/2019,10100,10100,pre-owned,1675,Mechanical (Automatic),Stainless Steel,Steel,GMT Master,Auction,4/14/2019,http://www.ebay.com/itm/vintage-men-s-rolex-submariner-1680-nice-patina-runs-perfect-1978-aged-dial-rare-/323777799712
169,4/21/2019,3620,3600,pre-owned,16018/16000,Mechanical (Automatic),Gold,Leather,Datejust,FixedPrice,4/21/2019,http://www.ebay.com/itm/rolex-cellini-mechanical-18k-yellow-gold-watch-strap-39mm-/143223802989
171,4/21/2019,7805,7750,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,3/19/2019,http://www.ebay.com/itm/mens-rolex-submariner-16610t-stainless-steel-black-dial-bezel-insert-2008-/264246369770
