,date,total,price,condition,MPN,movement,case material,band material,model,listingType,start,url
86,2/7/2019,3500,3500,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,14K Gold and Stainless Steel,Rolex Lady-Datejust,FixedPrice,1/22/2019,http://www.ebay.com/itm/rolex-men-watch-datejust-date-oyster-gold-steel-diamond-dial-bezel-watch-/283349231072
87,2/7/2019,5000,5000,pre-owned,79170,Mechanical (Automatic),Stainless Steel,Stainless Steel,Big Block Oysterdate,StoreInventory,1/24/2019,http://www.ebay.com/itm/tudor-big-block-crono-time-auto-wind-oysterdate-m-79170-case-rolex-/132928766695
89,2/7/2019,3900,3900,pre-owned,114270,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice,2/7/2019,http://www.ebay.com/itm/rolex-explorer-114270-z-serial-2007-36mm-/264184443929
91,2/7/2019,4950,4950,pre-owned,Does not apply,Mechanical (Automatic),"Silver, Stainless Steel, Yellow gold","Silver, Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice,2/5/2019,http://www.ebay.com/itm/champagne-diamond-dial-bezel-rolex-dj-watch-presidential-style-fgw210138-/352586470489
94,2/7/2019,4750,4750,pre-owned,1500,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Date,StoreInventory,11/13/2018,http://www.ebay.com/itm/rolex-explorer-1-114270-black-dial-f-serial-2004-authentic-mens-watch-/292815765000
105,2/7/2019,7950,7950,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,2/6/2019,http://www.ebay.com/itm/mens-rolex-submariner-date-18k-yellow-gold-steel-watch-blue-dial-bezel-16613-/153367148844
112,2/6/2019,6100,6100,pre-owned,14060M,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2/3/2019,http://www.ebay.com/itm/rolex-submariner-14060m-black-dial-stainless-steel-mens-watch-2-liner-k-serial-/264178940584
116,2/6/2019,5212,5200,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex DateJust,StoreInventory,2/6/2019,http://www.ebay.com/itm/rolex-president-datejust-26mm-18k-yellow-gold-ladies-watch-79178-/273690194050
120,2/6/2019,6275,6275,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,2/6/2019,http://www.ebay.com/itm/rolex-explorer-ii-auto-40mm-steel-mens-oyster-bracelet-watch-date-gmt-16570-/292950188414
121,2/6/2019,6215,6100,pre-owned,69173,Mechanical (Automatic),Stainless Steel & 18K Gold,Stainless Steel & 18K Gold,Datejust,StoreInventory,12/1/2018,http://www.ebay.com/itm/rolex-air-king-116900-s-s-40mm-black-green-auto-watch-stunning-b-p-/283285714610
123,2/6/2019,3945,3900,pre-owned,Does Not Apply,Mechanical (Automatic),"18k Yellow Gold Bezel, Stainless Steel",18k Yellow Gold & Stainless Steel,Yacht-Master,StoreInventory,1/15/2019,http://www.ebay.com/itm/rolex-yachtmaster-ref-69623-18k-yellow-gold-stainless-steel-ladies-watch-29-mm-/153341147702
125,2/6/2019,9521,9500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,1/30/2019,http://www.ebay.com/itm/rolex-mens-submariner-hulk-green-dial-stainless-steel-ceramic-bezel-very-nice-/283359169943
129,2/6/2019,5800,5800,pre-owned,6694,Mechanical (Automatic),Stainless Steel,Stainless Steel,Oysterdate,StoreInventory,11/8/2018,http://www.ebay.com/itm/rare-1986-vintage-rolex-6694-oyster-date-state-qatar-saudi-dial-watch-/163362180494
133,2/6/2019,4962,4950,pre-owned,Does Not Apply,Mechanical (Automatic),Gold,Leather,Rolex - Bubble Back,StoreInventory,2/5/2019,http://www.ebay.com/itm/very-rare-vintage-rolex-14k-yellow-gold-hooded-bubble-back-model-3065-/132942928803
135,2/6/2019,6800,6800,pre-owned,116334,Mechanical (Automatic),"18k White Gold Bezel, Stainless Steel",Stainless Steel,Datejust II,FixedPrice,1/4/2019,http://www.ebay.com/itm/rolex-116334-datejust-ii-black-roman-dial-ss-excellent-condition-w-box-/163466638390
141,2/6/2019,4350,4350,pre-owned,4233,Mechanical (Hand-winding),18K White Gold,Crocodile Skin,Rolex Cellini,StoreInventory,1/18/2019,http://www.ebay.com/itm/rolex-cellini-danaos-18k-white-gold-black-dial-unisex-watch-4233-/273662928798
143,2/6/2019,3500,3500,pre-owned,169622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,FixedPrice,12/14/2018,http://www.ebay.com/itm/rolex-yacht-master-steel-29-mm-automatic-ladies-watch-169622-serial-f-circa-2003-/143052006363
3,2/7/2019,7950,7950,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,2/6/2019,http://www.ebay.com/itm/mens-rolex-submariner-date-18k-yellow-gold-steel-watch-blue-dial-bezel-16613-/153367148844
10,2/6/2019,6100,6100,pre-owned,14060M,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2/3/2019,http://www.ebay.com/itm/rolex-submariner-14060m-black-dial-stainless-steel-mens-watch-2-liner-k-serial-/264178940584
14,2/6/2019,5212,5200,pre-owned,6917,Mechanical (Automatic),Gold,Solid Gold,Rolex Datejust,StoreInventory,2/6/2019,http://www.ebay.com/itm/rolex-president-datejust-26mm-18k-yellow-gold-ladies-watch-79178-/273690194050
18,2/6/2019,6275,6275,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,2/6/2019,http://www.ebay.com/itm/rolex-explorer-ii-auto-40mm-steel-mens-oyster-bracelet-watch-date-gmt-16570-/292950188414
19,2/6/2019,6215,6100,pre-owned,69173,Mechanical (Automatic),Stainless Steel & 18K Gold,Stainless Steel & 18K Gold,Datejust,StoreInventory,12/1/2018,http://www.ebay.com/itm/rolex-air-king-116900-s-s-40mm-black-green-auto-watch-stunning-b-p-/283285714610
21,2/6/2019,3945,3900,pre-owned,69623,Mechanical (Automatic),"18k Yellow Gold Bezel, Stainless Steel",18k Yellow Gold & Stainless Steel,Yacht-Master,StoreInventory,1/15/2019,http://www.ebay.com/itm/rolex-yachtmaster-ref-69623-18k-yellow-gold-stainless-steel-ladies-watch-29-mm-/153341147702
23,2/6/2019,9521,9500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,1/30/2019,http://www.ebay.com/itm/rolex-mens-submariner-hulk-green-dial-stainless-steel-ceramic-bezel-very-nice-/283359169943
27,2/6/2019,5800,5800,pre-owned,6694,Mechanical (Hand-winding),Stainless Steel,Stainless Steel,Rolex Oysterdate,StoreInventory,11/8/2018,http://www.ebay.com/itm/rare-1986-vintage-rolex-6694-oyster-date-state-qatar-saudi-dial-watch-/163362180494
31,2/6/2019,4962,4950,pre-owned,Does Not Apply,Mechanical (Automatic),Gold,Leather,Rolex - Bubble Back,StoreInventory,2/5/2019,http://www.ebay.com/itm/very-rare-vintage-rolex-14k-yellow-gold-hooded-bubble-back-model-3065-/132942928803
39,2/6/2019,4350,4350,pre-owned,4233,Mechanical (Hand-winding),18K White Gold,Crocodile Skin,Rolex Cellini,StoreInventory,1/18/2019,http://www.ebay.com/itm/rolex-cellini-danaos-18k-white-gold-black-dial-unisex-watch-4233-/273662928798
41,2/6/2019,3500,3500,pre-owned,169622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,FixedPrice,12/14/2018,http://www.ebay.com/itm/rolex-yacht-master-steel-29-mm-automatic-ladies-watch-169622-serial-f-circa-2003-/143052006363
46,2/5/2019,7475,7420,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,2/4/2019,http://www.ebay.com/itm/rolex-submariner-116610-stainless-steel-automatic-mens-watch-/123629678264
48,2/5/2019,6511,6511,pre-owned,16013,Mechanical (Automatic),Stainless Steel,"Stainless Steel, 18K Gold",Datejust,Auction,1/29/2019,http://www.ebay.com/itm/rolex-datejust-116233-men-s-36mm-oyster-18k-ss-black-dial-w-diamond-bezel-watch-/113605056400
49,2/5/2019,3325,3250,pre-owned,68240,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,1/31/2019,http://www.ebay.com/itm/rolex-68240-stainless-midsize-datejust-/223357094382
50,2/5/2019,7550,7500,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2/5/2019,http://www.ebay.com/itm/rolex-submariner-watch-116610-pre-owned-black-ceramic-bezel-/333056880710
51,2/5/2019,7895,7895,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2/5/2019,http://www.ebay.com/itm/rolex-submariner-116610-ceramic-bezel-black-dial-stainless-steel-watch-w-box-/333056555732
54,2/5/2019,3278,3278,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel","Stainless Steel and Yellow Gold, Solid Gold, Stainless Steel",Rolex Datejust,Auction,1/29/2019,http://www.ebay.com/itm/mens-rolex-oyster-perpetual-datejust-watch-stainless-steel-fits-size-71-2-wrist-/273677632464
57,2/5/2019,5000,5000,pre-owned,178274,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,2/4/2019,http://www.ebay.com/itm/rolex-lady-datejust-31mm-178274-/163525420193
62,2/5/2019,5400,5400,new with tags,178240,Mechanical (Automatic),Stainless Steel,Stainless Steel,Midsize Datejust,StoreInventory,1/7/2019,http://www.ebay.com/itm/rolex-ladies-mid-size-pink-dial-date-just-stainless-steel-oyster-bracelet-178240-/183625065190
63,2/5/2019,10200,10200,pre-owned,Does Not Apply,Mechanical: Automatic,Stainless Steel,"18k Yellow Gold, Stainless Steel",Submariner 16613,StoreInventory,1/11/2019,http://www.ebay.com/itm/rolex-submariner-16613-18k-yg-steel-blue-index-dial-w-card-mint-unpolished-/254065693312
67,2/5/2019,7495,7495,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,178240,FixedPrice,2/5/2019,http://www.ebay.com/itm/rolex-datejust-ladies-31mm-178240-diamond-bezel-diamond-dial-box-papers-/401701287229
70,2/5/2019,3799,3799,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,1/29/2019,http://www.ebay.com/itm/rolex-ref-16200-box-and-paper-d-serial-/292938030203
72,2/5/2019,6350,6350,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,Auction,1/26/2019,http://www.ebay.com/itm/2008-rolex-explorer-ii-16570-white-dial-40mm-m-series-boxes-papers-/283353192842
75,2/5/2019,5017,4950,pre-owned,Does Not Apply,Mechanical (Automatic),"18K Yellow Gold & Stainless Steel, 1.50CT Diamond Bezel",18K Yellow Gold & Stainless Steel,16013,Auction,1/29/2019,http://www.ebay.com/itm/rolex-mens-16233-datejust-quick-set-tu-tone-18k-ss-diamond-/202578869322
80,2/7/2019,7950,7950,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,2/6/2019,http://www.ebay.com/itm/mens-rolex-submariner-date-18k-yellow-gold-steel-watch-blue-dial-bezel-16613-/153367148844
87,2/6/2019,6100,6100,pre-owned,14060M,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2/3/2019,http://www.ebay.com/itm/rolex-submariner-14060m-black-dial-stainless-steel-mens-watch-2-liner-k-serial-/264178940584
91,2/6/2019,5212,5200,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Lady-Datejust,StoreInventory,2/6/2019,http://www.ebay.com/itm/rolex-president-datejust-26mm-18k-yellow-gold-ladies-watch-79178-/273690194050
95,2/6/2019,6275,6275,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,2/6/2019,http://www.ebay.com/itm/rolex-explorer-ii-auto-40mm-steel-mens-oyster-bracelet-watch-date-gmt-16570-/292950188414
96,2/6/2019,6215,6100,pre-owned,69173,Mechanical (Automatic),Stainless Steel & 18K Gold,Stainless Steel & 18K Gold,Datejust,StoreInventory,12/1/2018,http://www.ebay.com/itm/rolex-air-king-116900-s-s-40mm-black-green-auto-watch-stunning-b-p-/283285714610
98,2/6/2019,3945,3900,pre-owned,69623,Mechanical (Automatic),"18k Yellow Gold Bezel, Stainless Steel",18k Yellow Gold & Stainless Steel,Yacht-Master,StoreInventory,1/15/2019,http://www.ebay.com/itm/rolex-yachtmaster-ref-69623-18k-yellow-gold-stainless-steel-ladies-watch-29-mm-/153341147702
100,2/6/2019,9521,9500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,1/30/2019,http://www.ebay.com/itm/rolex-mens-submariner-hulk-green-dial-stainless-steel-ceramic-bezel-very-nice-/283359169943
104,2/6/2019,5800,5800,pre-owned,6694,Mechanical (Hand-winding),Stainless Steel,Stainless Steel,Rolex Oysterdate,StoreInventory,11/8/2018,http://www.ebay.com/itm/rare-1986-vintage-rolex-6694-oyster-date-state-qatar-saudi-dial-watch-/163362180494
108,2/6/2019,4962,4950,pre-owned,Does Not Apply,Mechanical (Automatic),Gold,Leather,Rolex - Bubble Back,StoreInventory,2/5/2019,http://www.ebay.com/itm/very-rare-vintage-rolex-14k-yellow-gold-hooded-bubble-back-model-3065-/132942928803
116,2/6/2019,4350,4350,pre-owned,4233,Mechanical (Hand-winding),18K White Gold,Crocodile Skin,Rolex Cellini,StoreInventory,1/18/2019,http://www.ebay.com/itm/rolex-cellini-danaos-18k-white-gold-black-dial-unisex-watch-4233-/273662928798
118,2/6/2019,3500,3500,pre-owned,169622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,FixedPrice,12/14/2018,http://www.ebay.com/itm/rolex-yacht-master-steel-29-mm-automatic-ladies-watch-169622-serial-f-circa-2003-/143052006363
123,2/5/2019,7475,7420,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,2/4/2019,http://www.ebay.com/itm/rolex-submariner-116610-stainless-steel-automatic-mens-watch-/123629678264
125,2/5/2019,6511,6511,pre-owned,16013,Mechanical (Automatic),Stainless Steel,Stainless & Solid Gold,Datejust,Auction,1/29/2019,http://www.ebay.com/itm/rolex-datejust-116233-men-s-36mm-oyster-18k-ss-black-dial-w-diamond-bezel-watch-/113605056400
126,2/5/2019,3325,3250,pre-owned,68240,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,1/31/2019,http://www.ebay.com/itm/rolex-68240-stainless-midsize-datejust-/223357094382
127,2/5/2019,7550,7500,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2/5/2019,http://www.ebay.com/itm/rolex-submariner-watch-116610-pre-owned-black-ceramic-bezel-/333056880710
128,2/5/2019,7895,7895,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2/5/2019,http://www.ebay.com/itm/rolex-submariner-116610-ceramic-bezel-black-dial-stainless-steel-watch-w-box-/333056555732
131,2/5/2019,3278,3278,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel","Stainless Steel and Yellow Gold, Solid Gold, Stainless Steel",Rolex Datejust,Auction,1/29/2019,http://www.ebay.com/itm/mens-rolex-oyster-perpetual-datejust-watch-stainless-steel-fits-size-71-2-wrist-/273677632464
139,2/5/2019,5400,5400,new with tags,178240,Mechanical (Automatic),Stainless Steel,Stainless Steel,Midsize Datejust,StoreInventory,1/7/2019,http://www.ebay.com/itm/rolex-ladies-mid-size-pink-dial-date-just-stainless-steel-oyster-bracelet-178240-/183625065190
140,2/5/2019,10200,10200,pre-owned,Does Not Apply,Mechanical: Automatic,Stainless Steel,"18k Yellow Gold, Stainless Steel",Submariner 16613,StoreInventory,1/11/2019,http://www.ebay.com/itm/rolex-submariner-16613-18k-yg-steel-blue-index-dial-w-card-mint-unpolished-/254065693312
144,2/5/2019,7495,7495,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,178240,FixedPrice,2/5/2019,http://www.ebay.com/itm/rolex-datejust-ladies-31mm-178240-diamond-bezel-diamond-dial-box-papers-/401701287229
147,2/5/2019,3799,3799,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,1/29/2019,http://www.ebay.com/itm/rolex-ref-16200-box-and-paper-d-serial-/292938030203
149,2/5/2019,6350,6350,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,Auction,1/26/2019,http://www.ebay.com/itm/2008-rolex-explorer-ii-16570-white-dial-40mm-m-series-boxes-papers-/283353192842
152,2/5/2019,5017,4950,pre-owned,Does Not Apply,Mechanical (Automatic),"18K Yellow Gold & Stainless Steel, 1.50CT Diamond Bezel",18K Yellow Gold & Stainless Steel,16013,Auction,1/29/2019,http://www.ebay.com/itm/rolex-mens-16233-datejust-quick-set-tu-tone-18k-ss-diamond-/202578869322
0,2/7/2019,4008,3995,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel & 18k Yellow Gold Diamond Bezel,18k yellow gold / Stainless Steel,69173,StoreInventory,1/28/2019,http://www.ebay.com/itm/rolex-ladys-diamond-datejust-69173-fully-loaded-/173766404888
4,2/7/2019,5900,5900,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Crocodile Skin,Rolex Datejust,FixedPrice,2/7/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-datejust-mens-/173782990748
6,2/7/2019,5200,5200,pre-owned,6916,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,3/21/2018,http://www.ebay.com/itm/ladies-rolex-air-king-34mm-stainless-steel-pink-mother-pearl-diamond-watch-/142729899198
10,2/7/2019,7000,7000,pre-owned,M50505-0020,Mechanical (Automatic),White Gold,alligator,Rolex Cellini,Auction,2/7/2019,http://www.ebay.com/itm/rolex-cellini-dual-time-white-gold-black-leather-strap-box-papers-/183674741134
12,2/7/2019,8000,8000,pre-owned,114060,Mechanical: Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,10/22/2018,http://www.ebay.com/itm/rolex-ceramic-submariner-no-date-stainless-steel-watch-114060-box-and-papers-/232976203602
15,2/7/2019,3500,3500,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,14K Gold and Stainless Steel,Rolex Lady-Datejust,FixedPrice,1/22/2019,http://www.ebay.com/itm/rolex-men-watch-datejust-date-oyster-gold-steel-diamond-dial-bezel-watch-/283349231072
16,2/7/2019,5000,5000,pre-owned,79170,Mechanical (Automatic),Stainless Steel,Stainless Steel,Big Block Oysterdate,StoreInventory,1/24/2019,http://www.ebay.com/itm/tudor-big-block-crono-time-auto-wind-oysterdate-m-79170-case-rolex-/132928766695
18,2/7/2019,3900,3900,pre-owned,114270,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice,2/7/2019,http://www.ebay.com/itm/rolex-explorer-114270-z-serial-2007-36mm-/264184443929
20,2/7/2019,4950,4950,pre-owned,Does not apply,Mechanical (Automatic),"Silver, Stainless Steel, Yellow gold","Silver, Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice,2/5/2019,http://www.ebay.com/itm/champagne-diamond-dial-bezel-rolex-dj-watch-presidential-style-fgw210138-/352586470489
23,2/7/2019,4750,4750,pre-owned,1500,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Date,StoreInventory,11/13/2018,http://www.ebay.com/itm/rolex-explorer-1-114270-black-dial-f-serial-2004-authentic-mens-watch-/292815765000
34,2/7/2019,7950,7950,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,2/6/2019,http://www.ebay.com/itm/mens-rolex-submariner-date-18k-yellow-gold-steel-watch-blue-dial-bezel-16613-/153367148844
41,2/6/2019,6100,6100,pre-owned,14060M,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2/3/2019,http://www.ebay.com/itm/rolex-submariner-14060m-black-dial-stainless-steel-mens-watch-2-liner-k-serial-/264178940584
45,2/6/2019,5212,5200,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex DateJust,StoreInventory,2/6/2019,http://www.ebay.com/itm/rolex-president-datejust-26mm-18k-yellow-gold-ladies-watch-79178-/273690194050
49,2/6/2019,6275,6275,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,2/6/2019,http://www.ebay.com/itm/rolex-explorer-ii-auto-40mm-steel-mens-oyster-bracelet-watch-date-gmt-16570-/292950188414
50,2/6/2019,6215,6100,pre-owned,69173,Mechanical (Automatic),Stainless Steel & 18K Gold,Stainless Steel & 18K Gold,Datejust,StoreInventory,12/1/2018,http://www.ebay.com/itm/rolex-air-king-116900-s-s-40mm-black-green-auto-watch-stunning-b-p-/283285714610
52,2/6/2019,3945,3900,pre-owned,69623,Mechanical (Automatic),"18k Yellow Gold Bezel, Stainless Steel",18k Yellow Gold & Stainless Steel,Yacht-Master,StoreInventory,1/15/2019,http://www.ebay.com/itm/rolex-yachtmaster-ref-69623-18k-yellow-gold-stainless-steel-ladies-watch-29-mm-/153341147702
54,2/6/2019,9521,9500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,1/30/2019,http://www.ebay.com/itm/rolex-mens-submariner-hulk-green-dial-stainless-steel-ceramic-bezel-very-nice-/283359169943
58,2/6/2019,5800,5800,pre-owned,6694,Mechanical (Hand-winding),Stainless Steel,Stainless Steel,Rolex Oysterdate,StoreInventory,11/8/2018,http://www.ebay.com/itm/rare-1986-vintage-rolex-6694-oyster-date-state-qatar-saudi-dial-watch-/163362180494
62,2/6/2019,4962,4950,pre-owned,Does Not Apply,Mechanical (Automatic),Gold,Leather,Rolex - Bubble Back,StoreInventory,2/5/2019,http://www.ebay.com/itm/very-rare-vintage-rolex-14k-yellow-gold-hooded-bubble-back-model-3065-/132942928803
64,2/6/2019,6800,6800,pre-owned,116334,Mechanical (Automatic),"18k White Gold Bezel, Stainless Steel",Stainless Steel,Datejust II,FixedPrice,1/4/2019,http://www.ebay.com/itm/rolex-116334-datejust-ii-black-roman-dial-ss-excellent-condition-w-box-/163466638390
70,2/6/2019,4350,4350,pre-owned,4233,Mechanical (Hand-winding),Solid Gold,Crocodile Skin,Rolex Cellini,StoreInventory,1/18/2019,http://www.ebay.com/itm/rolex-cellini-danaos-18k-white-gold-black-dial-unisex-watch-4233-/273662928798
73,2/7/2019,7000,7000,pre-owned,M50505-0020,Mechanical (Automatic),White Gold,alligator,Rolex Cellini,Auction,2/7/2019,http://www.ebay.com/itm/rolex-cellini-dual-time-white-gold-black-leather-strap-box-papers-/183674741134
75,2/7/2019,8000,8000,pre-owned,114060,Mechanical: Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,10/22/2018,http://www.ebay.com/itm/rolex-ceramic-submariner-no-date-stainless-steel-watch-114060-box-and-papers-/232976203602
78,2/7/2019,3500,3500,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,14K Gold and Stainless Steel,Rolex Lady-Datejust,FixedPrice,1/22/2019,http://www.ebay.com/itm/rolex-men-watch-datejust-date-oyster-gold-steel-diamond-dial-bezel-watch-/283349231072
79,2/7/2019,5000,5000,pre-owned,79170,Mechanical (Automatic),Stainless Steel,Stainless Steel,Big Block Oysterdate,StoreInventory,1/24/2019,http://www.ebay.com/itm/tudor-big-block-crono-time-auto-wind-oysterdate-m-79170-case-rolex-/132928766695
81,2/7/2019,3900,3900,pre-owned,114270,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice,2/7/2019,http://www.ebay.com/itm/rolex-explorer-114270-z-serial-2007-36mm-/264184443929
83,2/7/2019,4950,4950,pre-owned,Does not apply,Mechanical (Automatic),"Silver, Stainless Steel, Yellow gold","Silver, Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice,2/5/2019,http://www.ebay.com/itm/champagne-diamond-dial-bezel-rolex-dj-watch-presidential-style-fgw210138-/352586470489
86,2/7/2019,4750,4750,pre-owned,1500,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Date,StoreInventory,11/13/2018,http://www.ebay.com/itm/rolex-explorer-1-114270-black-dial-f-serial-2004-authentic-mens-watch-/292815765000
97,2/7/2019,7950,7950,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,2/6/2019,http://www.ebay.com/itm/mens-rolex-submariner-date-18k-yellow-gold-steel-watch-blue-dial-bezel-16613-/153367148844
104,2/6/2019,6100,6100,pre-owned,14060M,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2/3/2019,http://www.ebay.com/itm/rolex-submariner-14060m-black-dial-stainless-steel-mens-watch-2-liner-k-serial-/264178940584
108,2/6/2019,5212,5200,pre-owned,6917,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex DateJust,StoreInventory,2/6/2019,http://www.ebay.com/itm/rolex-president-datejust-26mm-18k-yellow-gold-ladies-watch-79178-/273690194050
112,2/6/2019,6275,6275,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,2/6/2019,http://www.ebay.com/itm/rolex-explorer-ii-auto-40mm-steel-mens-oyster-bracelet-watch-date-gmt-16570-/292950188414
113,2/6/2019,6215,6100,pre-owned,69173,Mechanical (Automatic),Stainless Steel & 18K Gold,Stainless Steel & 18K Gold,Datejust,StoreInventory,12/1/2018,http://www.ebay.com/itm/rolex-air-king-116900-s-s-40mm-black-green-auto-watch-stunning-b-p-/283285714610
115,2/6/2019,3945,3900,pre-owned,69623,Mechanical (Automatic),"18k Yellow Gold Bezel, Stainless Steel",18k Yellow Gold & Stainless Steel,Yacht-Master,StoreInventory,1/15/2019,http://www.ebay.com/itm/rolex-yachtmaster-ref-69623-18k-yellow-gold-stainless-steel-ladies-watch-29-mm-/153341147702
117,2/6/2019,9521,9500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,1/30/2019,http://www.ebay.com/itm/rolex-mens-submariner-hulk-green-dial-stainless-steel-ceramic-bezel-very-nice-/283359169943
125,2/6/2019,4962,4950,pre-owned,Does Not Apply,Mechanical (Automatic),Gold,Leather,Rolex - Bubble Back,StoreInventory,2/5/2019,http://www.ebay.com/itm/very-rare-vintage-rolex-14k-yellow-gold-hooded-bubble-back-model-3065-/132942928803
127,2/6/2019,6800,6800,pre-owned,116334,Mechanical (Automatic),"18k White Gold Bezel, Stainless Steel",Stainless Steel,Datejust II,FixedPrice,1/4/2019,http://www.ebay.com/itm/rolex-116334-datejust-ii-black-roman-dial-ss-excellent-condition-w-box-/163466638390
133,2/6/2019,4350,4350,pre-owned,4233,Mechanical (Hand-winding),Solid Gold,Crocodile Skin,Rolex Cellini,StoreInventory,1/18/2019,http://www.ebay.com/itm/rolex-cellini-danaos-18k-white-gold-black-dial-unisex-watch-4233-/273662928798
